OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
857a6e73fffffff;36.53999;-1.21244;1702.2;28.77941117;2G;857a6e73fffffff;857a6e7bfffffff;36.62414;-1.07796
857a6e77fffffff;36.37757;-1.20461;1407;37.644238879999996;2G;857a6e77fffffff;857a6e7bfffffff;36.62414;-1.07796
857a6e83fffffff;36.6062;-1.91047;2071.2;22.54121403;2G;857a6e83fffffff;857a6e8bfffffff;36.69053;-1.77518
857a6e87fffffff;36.44337;-1.90286;783;39.809462350000004;2G;857a6e87fffffff;857a6e8bfffffff;36.69053;-1.77518
857a6e8ffffffff;36.52785;-1.7675399999999999;907.2;30.67829432;2G;857a6e8ffffffff;857a6e8bfffffff;36.69053;-1.77518
857a6e93fffffff;36.68463;-2.05349;1993.5;26.973134979999998;2G;857a6e93fffffff;857a6e9bfffffff;36.76893;-1.91806
857a6e97fffffff;36.52175;-2.04593;854.7;38.230850229999994;2G;857a6e97fffffff;857a6e9bfffffff;36.76893;-1.91806
857a6ea3fffffff;36.20214;-1.75219;670.8;64.15273949;2G;857a6ea3fffffff;857a6e03fffffff;36.53392;-1.4897
857a6ea7fffffff;36.03913;-1.74449;2150.4;77.03152634;2G;857a6ea7fffffff;857a6e03fffffff;36.53392;-1.4897
857a6eabfffffff;36.28679;-1.61698;772.2;48.60614645;2G;857a6eabfffffff;857a6e03fffffff;36.53392;-1.4897
857a6eaffffffff;36.12393;-1.60925;613.5;65.26316846;2G;857a6eaffffffff;857a6e03fffffff;36.53392;-1.4897
857a6eb3fffffff;36.28042;-1.89523;882.9;57.63439948;2G;857a6eb3fffffff;857a6e8bfffffff;36.69053;-1.77518
857a6eb7fffffff;36.11737;-1.88758;1155;75.63384778;2G;857a6eb7fffffff;857a6e03fffffff;36.53392;-1.4897
857a7023fffffff;40.08672;-0.55968;634.2;51.03609696;2G;857a7023fffffff;857a7153fffffff;39.7688;-0.54395
857a7027fffffff;39.92784;-0.55182;1529.7;33.75455226;2G;857a7027fffffff;857a7153fffffff;39.7688;-0.54395
857a7037fffffff;40.00629;-0.69226;1233.3;48.42186791;2G;857a7037fffffff;857a7153fffffff;39.7688;-0.54395
857a704bfffffff;40.87967;-0.32697;1265.1;73.31809630000001;2G;857a704bfffffff;857a73d3fffffff;40.40711;-0.0315
857a7063fffffff;40.40555;-0.30313;770.4;36.83550973;2G;857a7063fffffff;857a73d3fffffff;40.40711;-0.0315
857a706ffffffff;40.32721;-0.16322;899.1;20.05960481;2G;857a706ffffffff;857a73d3fffffff;40.40711;-0.0315
857a7077fffffff;40.32556;-0.43522;3257.4;50.109428290000004;2G;857a7077fffffff;857a73d3fffffff;40.40711;-0.0315
857a7083fffffff;40.55962;-1.12917;1115.7;72.58540066;2G;857a7083fffffff;857a7547fffffff;40.08092;-1.38074
857a7093fffffff;40.63828;-1.26976;5145.3;73.24228171;2G;857a7093fffffff;857a7557fffffff;40.15965;-1.52178
857a709bfffffff;40.7182;-1.1367;2087.1;87.34446589000001;2G;857a709bfffffff;857a7557fffffff;40.15965;-1.52178
857a70a7fffffff;40.00427;-0.96572;777.3;59.009625379999996;2G;857a70a7fffffff;857a7573fffffff;39.92149;-1.37327
857a70affffffff;40.08479;-0.83278;1098;64.69738656;2G;857a70affffffff;857a7153fffffff;39.7688;-0.54395
857a70d3fffffff;40.95623;-1.01143;3069;117.24242674999999;2G;857a70d3fffffff;857a7557fffffff;40.15965;-1.52178
857a70dbfffffff;41.0357;-0.87886;785.1;127.4048025;2G;857a70dbfffffff;857a73d3fffffff;40.40711;-0.0315
857a7107fffffff;39.20947;-0.65312;783.3;52.60070035;2G;857a7107fffffff;857a7147fffffff;39.53123;-0.39557
857a714bfffffff;39.77109;-0.27119;2828.1;25.128205689999998;2G;857a714bfffffff;857a7143fffffff;39.69041;-0.40352
857a714ffffffff;39.61208;-0.26318;1577.7;21.5502121;2G;857a714ffffffff;857a7147fffffff;39.53123;-0.39557
857a715bfffffff;39.84944;-0.41146;2104.8;23.84701716;2G;857a715bfffffff;857a7153fffffff;39.7688;-0.54395
857a7163fffffff;39.29359;-0.24713;1576.2;44.91959063;2G;857a7163fffffff;857a7147fffffff;39.53123;-0.39557
857a7167fffffff;39.13412;-0.23909;1403.1;61.16914075;2G;857a7167fffffff;857a7147fffffff;39.53123;-0.39557
857a716bfffffff;39.37464;-0.11485;1309.2;47.8921631;2G;857a716bfffffff;857a7147fffffff;39.53123;-0.39557
857a716ffffffff;39.21534;-0.10675;1577.7;61.0096949;2G;857a716ffffffff;857a7147fffffff;39.53123;-0.39557
857a7177fffffff;39.21241;-0.37963;1054.8;48.30279411;2G;857a7177fffffff;857a7147fffffff;39.53123;-0.39557
857a717bfffffff;39.45291;-0.25516;1867.5;30.42920762;2G;857a717bfffffff;857a7147fffffff;39.53123;-0.39557
857a71affffffff;38.96807;-0.77837;1442.4;82.79478301;2G;857a71affffffff;857a7147fffffff;39.53123;-0.39557
857a71cbfffffff;39.84724;-0.68446;1489.5;34.20372243;2G;857a71cbfffffff;857a7153fffffff;39.7688;-0.54395
857a71cffffffff;39.68803;-0.67664;942;24.958464629999998;2G;857a71cffffffff;857a7153fffffff;39.7688;-0.54395
857a71d3fffffff;39.84503;-0.95805;969.9;59.99808098;2G;857a71d3fffffff;857a7153fffffff;39.7688;-0.54395
857a71dbfffffff;39.92573;-0.82505;917.1;51.72471745;2G;857a71dbfffffff;857a7153fffffff;39.7688;-0.54395
857a7207fffffff;40.8817;0.21486;1194;21.84490121;2G;857a7207fffffff;857a720ffffffff;40.96085;0.3458
857a7227fffffff;40.48833;0.37064;705.3;43.40236167;2G;857a7227fffffff;857a73c3fffffff;40.32886;0.10817
857a722bfffffff;40.72538;0.49319;814.8;27.048762569999997;2G;857a722bfffffff;857a7277fffffff;40.88271;0.48485
857a7233fffffff;40.72419;0.22308;686.7;31.86028026;2G;857a7233fffffff;857a723bfffffff;40.80351;0.35407
857a7237fffffff;40.56651;0.23129;2495.4;36.42607818;2G;857a7237fffffff;857a723bfffffff;40.80351;0.35407
